punt2(  20 , 160 ) heeft buur punt2(  20 , 160 ),  gevonden in    374 doorzochte knopen
punt2(  20 , 170 ) heeft buur punt2(  21 , 170 ),  gevonden in    411 doorzochte knopen
punt2(  20 , 180 ) heeft buur punt2(  21 , 180 ),  gevonden in    315 doorzochte knopen
punt2(  20 , 190 ) heeft buur punt2(  20 , 190 ),  gevonden in    409 doorzochte knopen
punt2(  30 ,   0 ) heeft buur punt2(  29 ,   1 ),  gevonden in     18 doorzochte knopen
punt2(  30 ,  10 ) heeft buur punt2(  31 ,  10 ),  gevonden in     25 doorzochte knopen
punt2(  30 ,  20 ) heeft buur punt2(  30 ,  20 ),  gevonden in     42 doorzochte knopen
punt2(  30 ,  30 ) heeft buur punt2(  31 ,  29 ),  gevonden in     55 doorzochte knopen
punt2(  30 ,  40 ) heeft buur punt2(  30 ,  40 ),  gevonden in    113 doorzochte knopen
punt2(  30 ,  50 ) heeft buur punt2(  29 ,  50 ),  gevonden in     29 doorzochte knopen
punt2(  30 ,  60 ) heeft buur punt2(  30 ,  60 ),  gevonden in     22 doorzochte knopen
punt2(  30 ,  70 ) heeft buur punt2(  30 ,  70 ),  gevonden in    187 doorzochte knopen
punt2(  30 ,  80 ) heeft buur punt2(  30 ,  80 ),  gevonden in    418 doorzochte knopen
punt2(  30 ,  90 ) heeft buur punt2(  30 ,  91 ),  gevonden in    463 doorzochte knopen
punt2(  30 , 100 ) heeft buur punt2(  30 , 100 ),  gevonden in    471 doorzochte knopen
punt2(  30 , 110 ) heeft buur punt2(  30 , 111 ),  gevonden in    529 doorzochte knopen
punt2(  30 , 120 ) heeft buur punt2(  30 , 120 ),  gevonden in    594 doorzochte knopen
punt2(  30 , 130 ) heeft buur punt2(  30 , 130 ),  gevonden in    570 doorzochte knopen
punt2(  30 , 140 ) heeft buur punt2(  30 , 140 ),  gevonden in    452 doorzochte knopen
punt2(  30 , 150 ) heeft buur punt2(  30 , 149 ),  gevonden in    242 doorzochte knopen
punt2(  30 , 160 ) heeft buur punt2(  30 , 161 ),  gevonden in    324 doorzochte knopen
punt2(  30 , 170 ) heeft buur punt2(  30 , 169 ),  gevonden in    436 doorzochte knopen
punt2(  30 , 180 ) heeft buur punt2(  30 , 180 ),  gevonden in    290 doorzochte knopen
punt2(  30 , 190 ) heeft buur punt2(  30 , 191 ),  gevonden in    242 doorzochte knopen
punt2(  40 ,   0 ) heeft buur punt2(  40 ,   1 ),  gevonden in     75 doorzochte knopen
punt2(  40 ,  10 ) heeft buur punt2(  40 ,  10 ),  gevonden in    109 doorzochte knopen
punt2(  40 ,  20 ) heeft buur punt2(  40 ,  19 ),  gevonden in    174 doorzochte knopen
punt2(  40 ,  30 ) heeft buur punt2(  40 ,  30 ),  gevonden in    193 doorzochte knopen
punt2(  40 ,  40 ) heeft buur punt2(  40 ,  40 ),  gevonden in    163 doorzochte knopen
punt2(  40 ,  50 ) heeft buur punt2(  40 ,  50 ),  gevonden in    124 doorzochte knopen
punt2(  40 ,  60 ) heeft buur punt2(  40 ,  60 ),  gevonden in     18 doorzochte knopen
punt2(  40 ,  70 ) heeft buur punt2(  40 ,  70 ),  gevonden in     82 doorzochte knopen
punt2(  40 ,  80 ) heeft buur punt2(  40 ,  80 ),  gevonden in    234 doorzochte knopen
punt2(  40 ,  90 ) heeft buur punt2(  40 ,  90 ),  gevonden in    426 doorzochte knopen
punt2(  40 , 100 ) heeft buur punt2(  40 , 100 ),  gevonden in    569 doorzochte knopen
punt2(  40 , 110 ) heeft buur punt2(  39 , 110 ),  gevonden in    420 doorzochte knopen
punt2(  40 , 120 ) heeft buur punt2(  40 , 120 ),  gevonden in    187 doorzochte knopen
punt2(  40 , 130 ) heeft buur punt2(  40 , 130 ),  gevonden in    220 doorzochte knopen
punt2(  40 , 140 ) heeft buur punt2(  40 , 140 ),  gevonden in    244 doorzochte knopen
punt2(  40 , 150 ) heeft buur punt2(  41 , 150 ),  gevonden in    212 doorzochte knopen
punt2(  40 , 160 ) heeft buur punt2(  40 , 160 ),  gevonden in    487 doorzochte knopen
punt2(  40 , 170 ) heeft buur punt2(  39 , 170 ),  gevonden in    557 doorzochte knopen
punt2(  40 , 180 ) heeft buur punt2(  39 , 180 ),  gevonden in    432 doorzochte knopen
punt2(  40 , 190 ) heeft buur punt2(  39 , 190 ),  gevonden in    427 doorzochte knopen
punt2(  50 ,   0 ) heeft buur punt2(  49 ,   0 ),  gevonden in    126 doorzochte knopen
punt2(  50 ,  10 ) heeft buur punt2(  50 ,  11 ),  gevonden in    186 doorzochte knopen
